modelo,pregunta,prompt,es_correcta,confianza,prob_entailment,prob_contradiction
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 1,True,0.8901445865631104,0.8901445865631104,0.10985536128282547
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 1,False,0.4511564373970032,0.4511564373970032,0.5488436222076416
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 1,True,0.8016744256019592,0.8016744256019592,0.19832560420036316
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 1,False,0.6686565279960632,0.6686565279960632,0.33134347200393677
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 1,False,0.15497615933418274,0.15497615933418274,0.8450238108634949
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 1,False,0.1773824840784073,0.1773824840784073,0.8226175308227539
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 1,False,0.4503132402896881,0.4503132402896881,0.5496867299079895
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 1,True,0.9466934204101562,0.9466934204101562,0.05330658331513405
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 1,False,0.6595482230186462,0.6595482230186462,0.34045177698135376
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 1,True,0.951964795589447,0.951964795589447,0.048035237938165665
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 1,True,0.9265380501747131,0.9265380501747131,0.07346190512180328
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 1,False,0.04276716336607933,0.04276716336607933,0.9572328925132751
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 1,True,0.9703450798988342,0.9703450798988342,0.02965492755174637
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 1,False,0.23410499095916748,0.23410499095916748,0.7658950686454773
meta-llama_Llama-3.1-8B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 1,False,0.01624629832804203,0.01624629832804203,0.9837536215782166
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 2,True,0.9104490280151367,0.9104490280151367,0.08955090492963791
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 2,False,0.37582913041114807,0.37582913041114807,0.6241708397865295
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 2,False,0.5938118100166321,0.5938118100166321,0.4061881899833679
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 2,True,0.9875854253768921,0.9875854253768921,0.012414593249559402
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 2,True,0.9551621079444885,0.9551621079444885,0.044837940484285355
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 2,False,0.040475741028785706,0.040475741028785706,0.9595242142677307
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 2,False,0.2913249731063843,0.2913249731063843,0.7086750864982605
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 2,False,0.48166224360466003,0.48166224360466003,0.5183377265930176
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 2,True,0.8047732710838318,0.8047732710838318,0.1952267587184906
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 2,True,0.9448689818382263,0.9448689818382263,0.055131036788225174
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 2,True,0.7441202402114868,0.7441202402114868,0.25587978959083557
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 2,False,0.004461521282792091,0.004461521282792091,0.9955384135246277
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 2,False,0.05265906825661659,0.05265906825661659,0.9473409056663513
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 2,False,0.24620744585990906,0.24620744585990906,0.7537925839424133
meta-llama_Llama-3.1-8B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 2,False,0.15495124459266663,0.15495124459266663,0.845048725605011
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 3,True,0.9919751286506653,0.9919751286506653,0.008024828508496284
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 3,False,0.4566991925239563,0.4566991925239563,0.5433008074760437
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 3,True,0.89018714427948,0.89018714427948,0.10981292277574539
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 3,False,0.545718789100647,0.545718789100647,0.4542812407016754
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 3,False,0.6091712117195129,0.6091712117195129,0.39082878828048706
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 3,False,0.05210879072546959,0.05210879072546959,0.9478912353515625
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 3,False,0.44003617763519287,0.44003617763519287,0.5599637627601624
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 3,True,0.8320478796958923,0.8320478796958923,0.16795213520526886
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 3,True,0.8043659925460815,0.8043659925460815,0.19563403725624084
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 3,False,0.40886735916137695,0.40886735916137695,0.591132640838623
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 3,True,0.8235797882080078,0.8235797882080078,0.176420196890831
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 3,False,0.17824603617191315,0.17824603617191315,0.8217540383338928
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 3,False,0.06601828336715698,0.06601828336715698,0.933981716632843
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 3,False,0.09174839407205582,0.09174839407205582,0.9082515835762024
meta-llama_Llama-3.1-8B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 3,False,0.0759790763258934,0.0759790763258934,0.9240209460258484
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 4,False,0.33196723461151123,0.33196723461151123,0.6680327653884888
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 4,True,0.7853050231933594,0.7853050231933594,0.21469499170780182
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 4,False,0.4252759516239166,0.4252759516239166,0.5747240781784058
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 4,False,0.6797566413879395,0.6797566413879395,0.32024338841438293
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 4,True,0.9722409844398499,0.9722409844398499,0.02775905281305313
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 4,False,0.06049348786473274,0.06049348786473274,0.9395065903663635
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 4,False,0.469554603099823,0.469554603099823,0.530445396900177
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 4,False,0.6962489485740662,0.6962489485740662,0.3037510812282562
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 4,False,0.29159069061279297,0.29159069061279297,0.7084093689918518
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 4,False,0.2572932243347168,0.2572932243347168,0.7427067756652832
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 4,True,0.7264411449432373,0.7264411449432373,0.2735588550567627
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 4,False,0.5721209645271301,0.5721209645271301,0.42787906527519226
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 4,True,0.9902865886688232,0.9902865886688232,0.009713360108435154
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 4,False,0.1117328405380249,0.1117328405380249,0.8882670998573303
meta-llama_Llama-3.1-8B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 4,False,0.005970287136733532,0.005970287136733532,0.9940297603607178
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 5,False,0.1962585747241974,0.1962585747241974,0.8037413954734802
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 5,True,0.7533033490180969,0.7533033490180969,0.24669665098190308
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 5,False,0.03973596543073654,0.03973596543073654,0.9602640271186829
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 5,True,0.8604413866996765,0.8604413866996765,0.13955865800380707
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 5,True,0.9938437938690186,0.9938437938690186,0.006156203802675009
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 5,False,0.11469610780477524,0.11469610780477524,0.8853039145469666
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 5,False,0.35709255933761597,0.35709255933761597,0.6429075002670288
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 5,False,0.2558960020542145,0.2558960020542145,0.7441039681434631
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 5,False,0.6732504367828369,0.6732504367828369,0.3267495930194855
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 5,False,0.10963360220193863,0.10963360220193863,0.8903663754463196
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 5,False,0.6757938265800476,0.6757938265800476,0.3242061734199524
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 5,False,0.0022699262481182814,0.0022699262481182814,0.9977300763130188
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 5,True,0.9977468848228455,0.9977468848228455,0.0022530776914209127
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 5,False,0.16252654790878296,0.16252654790878296,0.837473452091217
meta-llama_Llama-3.1-8B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 5,False,0.00019159525982104242,0.00019159525982104242,0.9998083710670471
meta-llama_Llama-3.1-8B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 6,False,0.3839280307292938,0.3839280307292938,0.6160719990730286
meta-llama_Llama-3.1-8B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 6,False,0.5000119209289551,0.5000119209289551,0.4999881088733673
meta-llama_Llama-3.1-8B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 6,True,0.9635584950447083,0.9635584950447083,0.036441583186388016
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 6,False,0.6991282105445862,0.6991282105445862,0.3008717894554138
meta-llama_Llama-3.1-8B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 6,False,0.49653360247612,0.49653360247612,0.5034663677215576
meta-llama_Llama-3.1-8B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 6,False,0.1003715768456459,0.1003715768456459,0.8996284604072571
meta-llama_Llama-3.1-8B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 6,False,0.35709255933761597,0.35709255933761597,0.6429075002670288
meta-llama_Llama-3.1-8B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 6,True,0.9982140064239502,0.9982140064239502,0.0017860688967630267
meta-llama_Llama-3.1-8B-Instruct,¿Quiero ir a RD3VC?,Prompt 6,True,0.873216986656189,0.873216986656189,0.12678305804729462
meta-llama_Llama-3.1-8B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 6,False,0.48631441593170166,0.48631441593170166,0.5136855840682983
meta-llama_Llama-3.1-8B-Instruct,Estoy en OA1SC.,Prompt 6,False,0.6912776231765747,0.6912776231765747,0.3087223768234253
meta-llama_Llama-3.1-8B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 6,False,0.43864110112190247,0.43864110112190247,0.5613588690757751
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 6,True,0.9960792660713196,0.9960792660713196,0.003920789808034897
meta-llama_Llama-3.1-8B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 6,False,0.14571355283260345,0.14571355283260345,0.8542864918708801
meta-llama_Llama-3.1-8B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 6,False,0.003487412119284272,0.003487412119284272,0.9965125918388367
meta-llama_Llama-3.2-3B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 1,False,0.5194546580314636,0.5194546580314636,0.48054537177085876
meta-llama_Llama-3.2-3B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 1,False,0.5486167073249817,0.5486167073249817,0.4513832926750183
meta-llama_Llama-3.2-3B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 1,True,0.8397429585456848,0.8397429585456848,0.16025705635547638
meta-llama_Llama-3.2-3B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 1,True,0.7631523609161377,0.7631523609161377,0.2368476688861847
meta-llama_Llama-3.2-3B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 1,False,0.3190251886844635,0.3190251886844635,0.6809748411178589
meta-llama_Llama-3.2-3B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 1,False,0.4817523956298828,0.4817523956298828,0.5182476043701172
meta-llama_Llama-3.2-3B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 1,False,0.48323896527290344,0.48323896527290344,0.516761064529419
meta-llama_Llama-3.2-3B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 1,True,0.942046046257019,0.942046046257019,0.057953935116529465
meta-llama_Llama-3.2-3B-Instruct,¿Quiero ir a RD3VC?,Prompt 1,True,0.9909318685531616,0.9909318685531616,0.009068161249160767
meta-llama_Llama-3.2-3B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 1,True,0.8661895990371704,0.8661895990371704,0.13381034135818481
meta-llama_Llama-3.2-3B-Instruct,Estoy en OA1SC.,Prompt 1,True,0.9100213646888733,0.9100213646888733,0.08997862786054611
meta-llama_Llama-3.2-3B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 1,True,0.8557392358779907,0.8557392358779907,0.14426077902317047
meta-llama_Llama-3.2-3B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 1,True,0.9829124212265015,0.9829124212265015,0.01708761788904667
meta-llama_Llama-3.2-3B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 1,False,0.4475034177303314,0.4475034177303314,0.5524965524673462
meta-llama_Llama-3.2-3B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 1,False,0.0004897926701232791,0.0004897926701232791,0.9995101690292358
meta-llama_Llama-3.2-3B-Instruct,¿Cómo puedo llegar desde la estación AA1SC a la estación AG7BH?,Prompt 2,False,0.6999016404151917,0.6999016404151917,0.30009838938713074
meta-llama_Llama-3.2-3B-Instruct,¿Qué estaciones debo usar para transferirme entre las líneas Roja y Naranja?,Prompt 2,False,0.1512429416179657,0.1512429416179657,0.8487570285797119
meta-llama_Llama-3.2-3B-Instruct,"Quiero ir de la estación VF6SC a la estación RA1SC, ¿qué ruta me recomiendas?",Prompt 2,True,0.7744224071502686,0.7744224071502686,0.22557757794857025
meta-llama_Llama-3.2-3B-Instruct,¿Cuál es la mejor ruta para ir de BD2VB a AC3SC?,Prompt 2,False,0.5011683702468872,0.5011683702468872,0.49883168935775757
meta-llama_Llama-3.2-3B-Instruct,¿Dime todas las rutas posibles para ir de BB2OC a AF6SC?,Prompt 2,False,0.6709457635879517,0.6709457635879517,0.32905420660972595
meta-llama_Llama-3.2-3B-Instruct,¿Hay alguna estación que sirva como punto de conexión entre más de 2 líneas de metro?,Prompt 2,False,0.028718596324324608,0.028718596324324608,0.9712814092636108
meta-llama_Llama-3.2-3B-Instruct,¿Cuál es la línea que tiene más estaciones?,Prompt 2,False,0.25549811124801636,0.25549811124801636,0.7445018887519836
meta-llama_Llama-3.2-3B-Instruct,¿Por cuántas estaciones pasan más de una línea?,Prompt 2,True,0.8093281984329224,0.8093281984329224,0.19067181646823883
meta-llama_Llama-3.2-3B-Instruct,¿Quiero ir a RD3VC?,Prompt 2,False,0.47331610321998596,0.47331610321998596,0.5266838669776917
meta-llama_Llama-3.2-3B-Instruct,"Estoy en la estación OA1SC, ¿cómo llego a la estación RG6SC?",Prompt 2,True,0.9258654117584229,0.9258654117584229,0.07413459569215775
meta-llama_Llama-3.2-3B-Instruct,Estoy en OA1SC.,Prompt 2,True,0.8608187437057495,0.8608187437057495,0.13918127119541168
meta-llama_Llama-3.2-3B-Instruct,"Necesito ir a la estación BC3SC, ¿cómo llego allí desde la estación VG7SC?",Prompt 2,True,0.8484126329421997,0.8484126329421997,0.1515873521566391
meta-llama_Llama-3.2-3B-Instruct,¿Cuántas estaciones hay en total en el sistema de metro?,Prompt 2,True,0.7992376089096069,0.7992376089096069,0.2007623165845871
meta-llama_Llama-3.2-3B-Instruct,¿Cuántas líneas de metro hay en total?,Prompt 2,False,0.5895646810531616,0.5895646810531616,0.41043534874916077
meta-llama_Llama-3.2-3B-Instruct,"El día está soleado, ¿sabes si va a llover hoy? ¿El metro está cerrado hoy?",Prompt 2,False,0.0553472675383091,0.0553472675383091,0.9446527361869812
